id,name,developer,developer_inn,price_for_sqm,address,latitude,longitude,metro,metro_time,floors_min,floors_max,apartments,total_area,completion_date,start_date,escrow,problem_flag,rpd_number,region_num,flats_count,building_class,wall_material,finish_type_count,free_plan,parking_count,energy_efficiency,developer_group,address_code,year_month,price_for_sqm_adj,key_rate,inflation,curs
66745,"ЖК ""Лето""",СЗ БИЗНЕС МОСТ,7841078022,150000.0,"ЛО, г. Бугры",60.0647,30.4,Девяткино,25.7166666666667,19,19,150,5205.07,2027-09-30,2025-07-18,1,0,47-001322,47,150.0,Комфорт,Монолит-кирпич,1.0,Нет,0.0,A,1,1,2025 July,150000.0,,,78.77240434782608
66364,"ЖК «Ягодное Река Парк», корп. 1.12",СЗ ЭТАЛОН ЯГОДНОЕ,9717108798,195061.0,"ЛО, г. Мурино",60.0322,30.4737,Девяткино,24.65,13,13,462,24230.8,2028-12-31,2025-06-20,1,0,47-001295,47,462.0,Комфорт,Монолит-кирпич,1.0,Нет,0.0,B,0,2,2025 June,195061.0,20.0,9.4,78.66786111111111
65899,Моменты.Repino,СЗ ЛЕНИНСКОЕ,7801721649,182087.0,"ЛО, Поселок Ленинское",60.2349,29.8514,,,2,2,6,606.93,2027-06-30,2025-05-14,1,0,47-001241,47,6.0,Бизнес,Монолит-кирпич,1.0,Нет,0.0,B,4,3,2025 May,182087.0,21.0,9.88,80.20483157894738
65898,Моменты.Repino,СЗ ЛЕНИНСКОЕ,7801721649,233238.0,"ЛО, Поселок Ленинское",60.2349,29.8514,,,2,2,7,710.41,2027-06-30,2025-05-14,1,0,47-001241,47,7.0,Бизнес,Монолит-кирпич,1.0,Нет,0.0,B,4,3,2025 May,233238.0,21.0,9.88,80.20483157894738
65897,Моменты.Repino,СЗ ЛЕНИНСКОЕ,7801721649,208568.0,"ЛО, Поселок Ленинское",60.2349,29.8514,,,2,2,6,606.93,2027-06-30,2025-05-14,1,0,47-001241,47,6.0,Бизнес,Монолит-кирпич,1.0,Нет,0.0,B,4,3,2025 May,208568.0,21.0,9.88,80.20483157894738
65896,Моменты.Repino,СЗ ЛЕНИНСКОЕ,7801721649,195517.0,"ЛО, Поселок Ленинское",60.2349,29.8514,,,2,2,8,839.32,2027-06-30,2025-05-14,1,0,47-001241,47,8.0,Бизнес,Монолит-кирпич,1.0,Нет,0.0,B,4,3,2025 May,195517.0,21.0,9.88,80.20483157894738
65895,Моменты.Repino,СЗ ЛЕНИНСКОЕ,7801721649,183914.0,"ЛО, Поселок Ленинское",60.2349,29.8514,,,2,2,5,537.3,2027-06-30,2025-05-14,1,0,47-001241,47,5.0,Бизнес,Монолит-кирпич,1.0,Нет,0.0,B,4,3,2025 May,183914.0,21.0,9.88,80.20483157894738
65893,Моменты.Repino,СЗ ЛЕНИНСКОЕ,7801721649,238063.0,"ЛО, Поселок Ленинское",60.2349,29.8514,,,2,2,6,745.62,2027-06-30,2025-05-14,1,0,47-001241,47,6.0,Бизнес,Монолит-кирпич,1.0,Нет,0.0,B,4,3,2025 May,238063.0,21.0,9.88,80.20483157894738
65892,Моменты.Repino,СЗ ЛЕНИНСКОЕ,7801721649,229145.0,"ЛО, Поселок Ленинское",60.2349,29.8514,,,2,2,6,643.44,2027-06-30,2025-05-14,1,0,47-001241,47,6.0,Бизнес,Монолит-кирпич,1.0,Нет,0.0,B,4,3,2025 May,229145.0,21.0,9.88,80.20483157894738
65891,Моменты.Repino,СЗ ЛЕНИНСКОЕ,7801721649,253937.0,"ЛО, Поселок Ленинское",60.2349,29.8514,,,2,2,5,627.27,2027-06-30,2025-05-14,1,0,47-001241,47,5.0,Бизнес,Монолит-кирпич,1.0,Нет,0.0,B,4,3,2025 May,253937.0,21.0,9.88,80.20483157894738
